滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
擦亮	擦亮 	[ca1 liang4]	/glänzen (V)/herrichten (V)/polieren (V)/poliert (Adj)/
擦亮粉	擦亮粉 	[ca1 liang4 fen3]	/Reinigungsmittel (S)/
擦傷	擦伤 	[ca1 shang1]	/abschürfen, wundreiben (V)/
擦刷乾淨	擦刷干净 	[ca1 shua4 gan1 jing4]	/sauber abwischen, sauber abwaschen (V)/
擦刷	擦刷 	[ca1 shua4]	/abwischen (V)/
擦去	擦去 	[ca1 qu4]	/gewischt (Adj)/Wisch (S)/wischen (V)/auslöschen (V)/
擦嘴	擦嘴 	[ca1 zui3]	/den Mund abwischen (V)/
擦地	擦地 	[ca1 di4]	/Fußboden putzen (V)/
擦地板	擦地板 	[ca1 di4 ban3]	/den Fußboden wischen (V)/
擦寫	擦写 	[ca1 xie3]	/löschen, ausradieren (V)/
擦拭	擦拭 	[ca1 shi4]	/reinigen (V)/
擦	擦 	[ca1]	/reinigen, wischen, putzen (V)/
擦桌子	擦桌子 	[ca1 zhuo1 zi3]	/den Tisch abwischen (V)/
擦淨	擦净 	[ca1 jing4]	/durchkämmen (V)/
擦痕	擦痕 	[ca1 hen2]	/Schramme (S)/
擦破	擦破 	[ca1 po4]	/Abnützung (S)/Streifschuss (S)/
擦絲器	擦丝器 	[ca1 si1 qi4]	/Reibe (S)/
擦網	擦网 	[ca1 wang3]	/Netz (Ballberührung des Netzes nach Aufschlag - Tennis) (S, Sport)/hat das Netz berührt (Redew)/
擦臉	擦脸 	[ca1 lian3]	/sich das Gesicht abwischen (V)/
擦過	擦过 	[ca1 guo4]	/streifen (V)/
擦邊	擦边 	[ca1 bian1]	/leichten Kontakt mit der Kante von etw. herstellen (V)/(fig.) fast (bestimmtes Alter) sein, in der Nähe von (Gefahr) sein (V)/(fig.) marginal sein (in Bezug auf Relevanz oder Rechtmäßigkeit) (V)/
擦金	擦金 	[ca1 jin1]	/Braunwerden (Foto) (S)/
擦金機	擦金机 	[ca1 jin1 ji1]	/Bronziermaschine (S)/
擦金用的長毛絨	擦金用的长毛绒 	[ca1 jin1 yong4 de5 chang2 mao2 rong2]	/Bronzierplüsch (S)/
擦金用膠質油墨	擦金用胶质油墨 	[ca1 jin1 yong4 jiao1 zhi4 you2 mo4]	/Bronzeunterdruckfarbe (S)/
擦除	擦除 	[ca1 chu2]	/löschen, ausradieren (V)/
擨	擨 	[ye2]	/historische Variante von 揶[ye2] (X)/
擩	擩 	[ru3]	/Flecken bekommen, färben, beizen, bedrucken (V)/färben (V)/
擫	擫 	[ye4]	/herabdrücken (V)/
擬人化	拟人化 	[ni3 ren2 hua4]	/Anthropomorphismus (Vermenschlichung von Tieren, Göttern, Naturgewalten, ...) (S, Philos)/Personifikation (S)/
擬人化美少女	拟人化美少女 	[ni3 ren2 hua4 mei3 shao4 nü3]	/Anthropomorphismus (S, Psych)/
擬人	拟人 	[ni3 ren2]	/Personifikation (S)/
擬人論	拟人论 	[ni3 ren2 lun4]	/Anthropomorphismus (S)/
擬作	拟作 	[ni3 zuo4]	/(einem Werk) nachempfinden (V)/
擬刺尾鯛	拟刺尾鲷 	[ni3 ci4 wei3 diao1]	/Paletten-Doktorfisch (S, Zool)/
擬古	拟古 	[ni3 gu3]	/archäologisch (Adj)/
擬在德國逗留的時間	拟在德国逗留的时间 	[ni3 zai4 de2 guo2 dou4 liu2 de5 shi2 jian1]	/beabsichtigte Dauer des Aufenthalts in Deutschland (S)/
擬好的文件	拟好的文件 	[ni3 hao3 de5 wen2 jian4]	/Ausarbeitung (S)/
擬定	拟定 	[ni3 ding4]	/entwerfen, formulieren (V)/
擬定	擬定 	[ni3 ding4]	/einen Plan entwerfen, planen (V)/
擬就	拟就 	[ni3 jiu4]	/etw. erarbeiten (V)/
擬態	拟态 	[ni3 tai4]	/Mimikry (Tarnung durch Nachahmung, Imitation) (S, Bio)/
擬	拟 	[ni3]	/planen (V)/vorhaben (V)/nachmachen (V)/vergleichen (V)/
擬滷素	拟卤素 	[ni3 lu3 su4]	/Pseudohalogen (S, Chem)/
擬病毒	拟病毒 	[ni3 bing4 du2]	/Virusoid (S, Med)/
擬聲	拟声 	[ni3 sheng1]	/Onomatopoetikum (S, Sprachw)/
擬聲詞	拟声词 	[ni3 sheng1 ci2]	/Onomatopoetikum (S, Sprachw)/
擬草	拟草 	[ni3 cao3]	/Entwurf (S, Ess)/
擬訂	拟订 	[ni3 ding4]	/entwerfen, ausarbeiten, erstellen (V)/
擬議	拟议 	[ni3 yi4]	/Antrag, Vorschlag (S)/auswählen, entwerfen (V)/vorsehen (V)/
擭	擭 	[huo4]	/fangen, abfangen (V)/
擯	摈 	[bin4]	/zurückweisen; verwerfen (V)/auswerfen (V)/ablegen; abwerfen (V)/ausklammern (V)/verzichten (V)/
擯棄	摈弃 	[bin4 qi4]	/aufgeben (V, Lit)/
擰乾	拧干 	[ning2 gan1]	/auswringen (V)/
擰出螺釘	拧出螺钉 	[ning2 chu1 luo2 ding1]	/lösen (V)/
擰動螺紋	拧动螺纹 	[ning2 dong4 luo2 wen2]	/lockern (V, Tech)/
擰成一股繩	拧成一股绳 	[ning3 cheng2 yi1 gu3 sheng2]	/am gleichen Strang ziehen, gemeinsame Anstrengungen unternehmen (V)/
擰	拧 	[ning2]	/abbringen, erzwingen (V)/kneifen, zwicken (V)/
擰	拧 	[ning3]	/drehen, schrauben (V)/verkehrt, falsch, falsch aufgefasst, verdreht (Adj)/entgegengesetzt, uneinig (Adj)/
擰	拧 	[ning4]	/eigensinnig, dickköpfig (Adj)/
擰擠	拧挤 	[ning2 ji3]	/wringen (V)/
擰緊力	拧紧力 	[ning2 jin3 li4]	/Anzugskraft (eines Schalters) (S)/
擰緊	拧紧 	[ning2 jin3]	/festziehen (V)/
擰緊螺絲	拧紧螺丝 	[ning2 jin3 luo2 si1]	/verschrauben (V)/
擰開	拧开 	[ning3 kai1]	/abschrauben (V)/
擰開水龍頭	拧开水龙头 	[ning3 kai1 shui3 long2 tou2]	/den Hahn aufdrehen (V)/
擱下	搁下 	[ge1 xia4]	/abstellen (V)/
擱	搁 	[ge1]	/setzen, platzieren (V)/
擱板	搁板 	[ge1 ban3]	/Einlegeboden (S)/Wandbord, Wandbrett (S)/
擱淺	搁浅 	[ge1 qian3]	/Grundberührung, Strandung (S)/aufbrummen (V)/auffahren (V)/auflaufen (V)/stranden (V)/
擱物架飾條	搁物架饰条 	[ge1 wu4 jia4 shi4 tiao2]	/Zugrostleiste, Zugrostprofil (S)/
擱置	搁置 	[ge1 zhi4]	/aufschieben (V)/zurückstellen (V)/
擲出	掷出 	[zhi4 chu1]	/wegwerfen (V)/
擲回	掷回 	[zhi4 hui2]	/zurückwerfen (V)/
擲	掷 	[zhi2]	/etw. (weg)schleudern (V)/
擲界外球	掷界外球 	[zhi2 jie4 wai4 qiu2]	/Einwurf (S, Sport)/den Ball einwerfen (V, Sport)/
擲色子	掷色子 	[zhi4 se4 zi3]	/würfeln (V)/
擲鉛球	掷铅球 	[zhi4 qian1 qiu2]	/Kugelstoßen (S, Sport)/
擲鐵餅	掷铁饼 	[zhi4 tie3 bing3]	/Diskuswerfen (S, Sport)/
擲骰子	掷骰子 	[zhi2 tou2 zi5]	/würfeln (V)/
擴充內存	扩充内存 	[kuo4 chong1 nei4 cun2]	/Erweiterungsspeicher (S)/
擴充劑	扩充剂 	[kuo4 chong1 ji4]	/Volumenersatzmittel (S, Med)/
擴充型	扩充型 	[kuo4 chong1 xing2]	/Ausbaustufe (S)/
擴充型控制系統	扩充型控制系统 	[kuo4 chong1 xing2 kong4 zhi4 xi4 tong3]	/Ausbaustufe (S)/
擴充存儲器	扩充存储器 	[kuo4 chong1 cun2 chu3 qi4]	/Erweiterungsspeicher (S)/
擴充	扩充 	[kuo4 chong1]	/ausweiten, erweitern, nachrüsten (V)/
擴口管終端	扩口管终端 	[kuo4 kou3 guan3 zhong1 duan1]	/Bördel (S, Tech)/
擴增	扩增 	[kuo4 zeng1]	/Erweiterung, Verstärkung (S)/
擴大就業	扩大就业 	[kuo4 da4 jiu4 ye4]	/Aufgabenerweiterung (S)/
擴大	扩大 	[kuo4 da4]	/erweitern, eskalieren, ausbauen, vergrößern (V)/
擴大空距	扩大空距 	[kuo4 da4 kong1 ju4]	/Ausbringen (S, Druckw)/
擴孔	扩孔 	[kuo4 kong3]	/zylindrisches Aussenken (S)/
擴展圖形陣列	扩展图形阵列 	[kuo4 zhan3 tu2 xing2 zhen4 lie4]	/XGA (Extended Graphics Array) (EDV)/
擴展性	扩展性 	[kuo4 zhan3 xing4]	/Erweiterungsfähigkeit (S)/
擴展	扩展 	[kuo4 zhan3]	/Expansion (S); erweitern (V)/
擴展的可能性	扩展的可能性 	[kuo4 zhan3 de5 ke3 neng2 xing4]	/Ausbaumöglichkeit (S, EDV)/
擴展的標準工業總線	扩展的标准工业总线 	[kuo4 zhan3 de5 biao1 zhun3 gong1 ye4 zong3 xian4]	/EISA (Extended Industry Standard Architecture ist der auf ISA basierende erweiterte PC-Bus) (S, EDV)/
擴展記憶體	扩展记忆体 	[kuo4 zhan3 ji4 yi4 ti3]	/Expanded memory (EDV)/
擴展速度	扩展速度 	[kuo4 zhan3 su4 du4]	/Ausbreitungsgeschwindigkeit (S)/
擴展選擇部件	扩展选择部件 	[kuo4 zhan3 xuan3 ze2 bu4 jian4]	/Ausbauoption (S)/
擴展階段	扩展阶段 	[kuo4 zhan3 jie1 duan4]	/Ausbaustufe (S)/
擴建	扩建 	[kuo4 jian4]	/erweitern (V)/
擴建改造	扩建改造 	[kuo4 jian4 gai3 zao4]	/Erweiterungsreform (S)/
擴建機場	扩建机场 	[kuo4 jian5 ji1 chang3]	/Flughafenausbau (S)/
擴張	扩张 	[kuo4 zhang1]	/überdreht (Adj)/Erweiterung (S)/expandiert (Adj)/gespannt (Adj)/abgepasst (Adj)/
擴	扩 	[kuo4]	/ausdehnen, erweitern (V)/
擴散作用	扩散作用 	[kuo4 san4 zuo4 yong4]	/Diffusion (S, Phys)/
擴散光暈	扩散光晕 	[kuo4 san4 guang1 yun4]	/Diffusionslichthof (S)/
擴散到	扩散到 	[kuo4 san4 dao4]	/hineindiffundieren (V)/
擴散性	扩散性 	[kuo4 san4 xing4]	/Diffusionsvermögen (S, EDV)/
擴散	扩散 	[kuo4 san4]	/Diffusion (S)/
擴散泵	扩散泵 	[kuo4 san4 beng4]	/Diffusionspumpe (S)/
擴散轉印	扩散转印 	[kuo4 san4 zhuan3 yin4]	/Diffusionsübertragung (S)/
擴散過程	扩散过程 	[kuo4 san4 guo4 cheng2]	/Diffusionsverfahren (S)/
擴編	扩编 	[kuo4 bian1]	/Vergrößerung (S)/
擴能	扩能 	[kuo4 neng2]	/Ausweitung (S)/Expansion (S)/
擴闊	扩阔 	[kuo4 kuo4]	/erweitern, ausdehnen (V)/
擴音器	扩音器 	[kuo4 yin1 qi4]	/Megafon, Megaphon (S)/
擴音機	扩音机 	[kuo4 yin1 ji1]	/Lautsprecher (S)/
擷	撷 	[xie2]	/sammeln, einsammeln (V)/
擸	擸 	[lie4]	/halten (V), erfassen (V)/die Haare halten (V)/ziehen an (V)/
擺來擺區	摆来摆区 	[bai3 lai2 bai3 qu1]	/Hin und Her/
擺動傳水輥接觸杠條	摆动传水辊接触杠条 	[bai3 dong4 chuan2 shui3 gun3 jie1 chu4 gang1 tiao2]	/Heberstreifen (S)/
擺動傳水輥節拍	摆动传水辊节拍 	[bai3 dong4 chuan2 shui3 gun3 jie2 pai1]	/Hebertakt (S, Druckw)/
擺動切割	摆动切割 	[bai3 dong4 qie1 ge1]	/Schwingschnitt (S)/
擺動叼紙牙	摆动叼纸牙 	[bai3 dong4 diao1 zhi3 ya2]	/Schwinggreifer (S)/
擺動	摆动 	[bai3 dong4]	/pendeln, federn (V, Phys)/
擺動杆	摆动杆 	[bai3 dong4 gan1]	/Schwinghebel (S)/
擺動的訂書頭	摆动的订书头 	[bai3 dong4 de5 ding4 shu1 tou2]	/fliegende Heftköpfe (S)/
擺動輥	摆动辊 	[bai3 dong4 gun3]	/Pendelwalze (S, Druckw)/
擺動輥輸水裝置	摆动辊输水装置 	[bai3 dong4 gun3 shu1 shui3 zhuang1 zhi4]	/Heberfeuchtwerk (S, Druckw)/
擺幅	摆幅 	[bai3 fu2]	/Amplitude (S, Phys)/
擺廢俱興	摆废俱兴 	[bai3 fei4 ju4 xing1]	/alles Versäumte nachholen (V)/
擺弄	摆弄 	[bai3 nong4]	/hantieren mit, plagen (V)/
擺式列車	摆式列车 	[bai3 shi4 lie4 che1]	/Neigetechnik (S, Tech)/
擺式高速列車	摆式高速列车 	[bai3 shi4 gao1 su4 lie4 che1]	/Neigezug (S, Infra)/
擺手	摆手 	[bai3 shou3]	/(abwehrend) mit der Hand winken (V)/hin und her schwingen (Arme) (V)/
擺拍	摆拍 	[bai3 pai1]	/ein gestelltes Foto machen (V)/
擺	摆 	[bai3]	/Pendel (S, Phys)/setzen, stellen, legen (V)/
擺擂臺	摆擂台 	[bai3 lei4 tai2]	/zum Kampf fordern (V, Mil)/
擺攤兒	摆摊儿 	[bai3 tan1 r5]	/Güter zum Kauf anbieten (V, Wirtsch)/
擺攤子	摆摊子 	[bai3 tan1 zi3]	/einen Stand aufstellen (auf der Straße) (V)/
擺放	摆放 	[bai3 fang4]	/hinstellen (V)/
擺明	摆明 	[bai3 ming2]	/etw. klar aufzeigen (V)/
擺架子	摆架子 	[bai3 jia4 zi3]	/sich aufspielen (V)/sich großtun (V)/
擺桌子	摆桌子 	[bai3 zhuo1 zi5]	/den Tisch decken (V)/
擺正	摆正 	[bai3 zheng4]	/zurechtrücken (V)/
擺浦兒	摆浦儿 	[bai3 pu3 er2]	/den Schein wahren (V)/
擺渡	摆渡 	[bai3 du4]	/übersetzen (V)/
擺渡者	摆渡者 	[bai3 du4 zhe3]	/Fährmann (S)/
擺渡船	摆渡船 	[bai3 du4 chuan2]	/Fähre (S)/
擺空架子的人	摆空架子的人 	[bai3 kong1 jia4 zi5 de5 ren2]	/Schaumschläger (S)/
擺線運動	摆线运动 	[bai3 xian4 yun4 dong4]	/zykloidisch bewegt (Adj)/
擺脫	摆脱 	[bai3 tuo1]	/sich frei machen von, ablegen, abbrechen, entledigen (V)/
擺脫束縛	摆脱束缚 	[bai3 tuo1 shu4 fu4]	/Emanzipation (S, Soz)/
擺脫睏境	摆脱困境 	[bai3 tuo1 kun4 jing4]	/Aus dem Schneider sein (Redew), aus der Klemm helfen (V)/
擺臂	摆臂 	[bai3 bi4]	/Schwenkarm (S)/
擺輪校正機	摆轮校正机 	[bai3 lun2 xiao4 zheng4 ji1]	/Pendelbremse (S)/
擺錘	摆锤 	[bai3 chui2]	/Pendel (S, Phys)/
擺鐘	摆钟 	[bai3 zhong1]	/Pendeluhr (S)/
擺門面	摆门面 	[bai3 men2 mian4]	/den Schein wahren (Sprichw)/auf Statussymbole bedacht sein (Sprichw)/Eindruck schinden wollen (Sprichw)/
擺開	摆开 	[bai3 kai1]	/sich aufstellen (V)/
擺閘	摆闸 	[bai3 zha2]	/Pendelbremse (S, Phys)/
擺闊	摆阔 	[bai3 kuo4]	/angeben (V)/mit Geld um sich werfen (Redew)/
擺鬥式提升機	摆斗式提升机 	[bai3 dou4 shi4 ti2 sheng1 ji1]	/Pendelbecherwerk (S)/
擺龍門陣	摆龙门阵 	[bai3 long2 men2 zhen4]	/klönen, ein Garn spinnen, klatschen (regionaler Dialekt) (V)/
擻	擞 	[sou3]	/bangend, zitternd (Adj)/
擼	撸 	[lu1]	/Eine Art Ruder bei Chinesischen Booten (S)/
擽	㧰 	[lüe4]	/klopfen; pumpern; stoßen (alt) (V)/hämmern (V), pochen (V)/
擽	擽 	[lüe4]	/kitzeln (V)/kitzelig, lustig (Adj)/
擾亂	扰乱 	[rao3 luan4]	/Störung (S)/durcheinander bringen, verwirren, irritieren (V)/stören (V)/
擾亂治安	扰乱治安 	[rao3 luan4 zhi4 an1]	/öffentliche Ruhestörung (S)/
擾動	扰动 	[rao3 dong4]	/Beunruhigung (S)/
擾	扰 	[rao3]	/durcheinander bringen, beunruhigen (V)/stören, belästigen (V)/
擾	擾 	[lin3]	/*** löschen (X)/
擾民	扰民 	[rao3 min2]	/Ruhestörung (S)/
擾流器	扰流器 	[rao3 liu2 qi4]	/Verderber (S)/
擾流板	扰流板 	[rao3 liu2 ban3]	/Spoiler (S)/
擿	擿 	[ti1]	/auswählen, auslesen, scheiden (V)/pingelig sein (V)/aussetzen (V), entblößen (V)/
擿	擿 	[zhi4]	/kratzen (V)/alte Variante von 擲|掷[zhi4] (X)/
攀升	攀升 	[pan1 sheng1]	/ansteigen (Börse) (V)/emporstreben, aufsteigen (V)/
攀岩	攀岩 	[pan1 yan2]	/Klettern (S)/
攀岩鞋	攀岩鞋 	[pan1 yan2 xie2]	/Kletterschuhe (S)/
攀扯	攀扯 	[pan1 che3]	/beinhalten (V)/
攀	攀 	[pan1]	/reißen, zerren (V)/klettern, erklettern (V)/
攀新高	攀新高 	[pan1 xin1 gao1]	/einen neuen Höhepunkt erreichen (V)/
攀昇	攀升 	[pan1 sheng1]	/ansteigen (Börse) (V)/emporstreben, aufsteigen (V)/
攀枝花市	攀枝花市 	[pan1 zhi1 hua1 shi4]	/Panzhihua (Stadt in Sichuan, China) (Eig, Geo)/
攀枝花	攀枝花 	[pan1 zhi1 hua1]	/Panzhihua (Stadt) (Eig, Geo)/
攀比	攀比 	[pan1 bi3]	/sich messen an, vergleichen (V)/
攀登	攀登 	[pan1 deng1]	/emporklettern, erklettern, erklimmen, besteigen (V)/
攀登者	攀登者 	[pan1 deng1 zhe3]	/Aufsteiger (S)/
攀石	攀石 	[pan1 shi2]	/Sportklettern (S, Sport)/
攀緣植物	攀缘植物 	[pan1 yuan2 zhi2 wu4]	/Kletterpflanze (S, Bot)/
攀緣而登	攀缘而登 	[pan1 yuan2 er2 deng1]	/klettern (V)/
攀親	攀亲 	[pan1 qin1]	/versuchen, von familiären Bindungen zu profitieren (V)/
攀談	攀谈 	[pan1 tan2]	/mit jmdm. plaudern (V)/
攀雀科	攀雀科 	[pan1 qiao3 ke1]	/Beutelmeisen (S, Zool)/
攀高	攀高 	[pan1 gao1]	/Aufstieg (S)/
攂	攂 	[lei2]	/alte Variante von 擂[lei2] (X)/schlagen, hauen (V)/
攃	攃 	[sa4]	/fortschreitend, vergangen (Adj)/
攄	摅 	[shu1]	/auftragen, ausbreiten (V)/darlegen (V)/
攆	撵 	[nian3]	/ausweisen, ausschließen (V)/
攈	攈 	[jun4]	/alte Variante von 捃[jun4] (X)/
攉	攉 	[huo1]	/antreiben, anspornen (V)/zuzwinkern, zunicken (V)/
攋	攋 	[la4]	/zerstören (V)/aufreißen (V)/aufreißen (V)/
攏	拢 	[long3]	/sammeln, einsammeln (V)/
攐	攐 	[qian1]	/Variante von 褰 (X), den Saum eines Kleidungsstückes hochhalten (V)/die Röcke hochheben (V)/
攓	攓 	[qian1]	/Variante von 搴[qian1] (X), ergreifen (V)/
攔住	拦住 	[lan2 zhu4]	/aufhalten, aufhören (V)/
攔截	拦截 	[lan2 jie2]	/abfangen (V, Mil)/
攔截者	拦截者 	[lan2 jie2 zhe3]	/Abfangjäger (S, Mil)/
攔	拦 	[lan2]	/behindern, hindern (V)/
攔河壩	拦河坝 	[lan2 he2 ba4]	/Staudamm, Talsperre (S)/
攔路強盜	拦路强盗 	[lan2 lu4 qiang2 dao4]	/Straßenräuber (S)/
攔路	拦路 	[lan2 lu4]	/Barriere (S)/
攔路搶劫	拦路抢劫 	[lan2 lu4 qiang1 jie2]	/Raubüberfall (S)/
攔路虎	拦路虎 	[lan2 lu4 hu3]	/Hindernis, Stein im Weg (S)/
攔車	拦车 	[lan2 che1]	/ein Auto anhalten (V)/ein Taxi anhalten (V)/
攔阻	拦阻 	[lan2 zu3]	/Entmutigung (S)/
攔雀尾	拦雀尾 	[lan2 que4 wei3]	/Den Vogel am Schwanz ziehen (Bewegung im Taijiquan 太极拳[tai4 ji2 quan2]) (V, Sport)/
攖	撄 	[ying1]	/angreifen, herfallen über (V)/entgegensetzen, gegenüberstellen (V)/
攘	攘 	[rang3]	/etw. an sich reißen (V)/sich jmdn. widersetzen, jmdn. zurückweisen (V)/vertreiben (V)/
攙假的人	搀假的人 	[chan1 jia3 de5 ren2]	/Verfälscher (S)/
攙兌	搀兑 	[chan1 dui4]	/Substanzen mischen (V, Chem)/
攙加	搀加 	[chan1 jia1]	/hinzufügen (V)/
攙扶	搀扶 	[chan1 fu2]	/jmdn. am Arm stützen (V)/
攙	搀 	[chan1]	/jmdn. am Arm führen, jmdn. den Arm zur Stütze reichen (V)/jmdn. aufrichten (V)/mischen, vermischen (V)/
攛	撺 	[cuan1]	/hetzen (V)/anfachen (V)/werfen (V)/schleudern (V)/sich beeilen (V)/toben, wüten (V)/
攜帶型遊戲機	携带型游戏机 	[xie2 dai4 xing2 you2 xi4 ji1]	/Handheld-Konsole (S)/
攜帶	携带 	[xie2 dai4]	/mit etw. bestückt sein, mit sich führen (V)/
攜帶火箭	携带火箭 	[xie2 dai4 huo3 jian4]	/Trägerrakete (S)/
攜帶者	携带者 	[xie2 dai4 zhe3]	/Luftfrachtführer, Aufnahme (f. Zusammen- o. Einbau) (S)/
攜手	携手 	[xie2 shou3]	/Hand in Hand (S)/
攜	携 	[xie2]	/halten, festhalten (V)/mitbringen (V)/mitnehmen (V)/tragen, befördern (V)/
攝像	摄像 	[she4 xiang4]	/Aufnahme (z. B. Fotoaufnahme, Videoaufnahme, Video, Bild, Foto, Fotografie) (S, Tech)/
攝像機	摄像机 	[she4 xiang4 ji1]	/Kamera (S, Tech)/
攝制組	摄制组 	[she4 zhi4 zu3]	/Kamerateam, Filmteam (S, Film)/
攝動理論	摄动理论 	[she4 dong4 li3 lun4]	/Störungstheorie (S, Phys)/
攝取	摄取 	[she4 qu3]	/aufnehmen, tragen (V)/
攝影分支	摄影分支 	[she4 ying3 fen1 zhi1]	/Fotobranche (S)/
攝影圖象	摄影图象 	[she4 ying3 tu2 xiang4]	/Fotozeichnung (S)/
攝影媒體化驗師	摄影媒体化验师 	[she4 ying3 mei2 ti3 hua4 yan4 shi1]	/Fotomedienlaborant (S)/
攝影學	摄影学 	[she4 ying3 xue2]	/Fotografie (S)/
攝影師	摄影师 	[she4 ying3 shi1]	/Fotograf (S, Tech)/Kameramann (S)/
攝影愛好者	摄影爱好者 	[she4 ying3 ai4 hao3 zhe3]	/Fotoamateur (S)/
攝影	摄影 	[she4 ying3]	/fotografieren, aufnehmen (V)/
攝影機	摄影机 	[she4 ying3 ji1]	/Kamera, Filmkamera (S, Tech)/
攝影測量學	摄影测量学 	[she4 ying3 ce4 liang2 xue2]	/Fotogrammetrie (S, Geo)/
攝影測量	摄影测量 	[she4 ying3 ce4 liang2]	/fotogrammetrische Vermessung (S, Tech)/
攝影監視	摄影监视 	[she4 ying3 jian1 shi4]	/Videoüberwachung (S, Kunst)/
攝影術	摄影术 	[she4 ying3 shu4]	/Fotografie (S)/
攝影製圖法	摄影制图法 	[she4 ying3 zhi4 tu2 fa3]	/Fotogrammetrie (S)/
攝影記者	摄影记者 	[she4 ying3 ji4 zhe3]	/Reportagefotograf, Pressefotograf (S)/
攝影部	摄影部 	[she4 ying3 bu4]	/Bildredaktion (einer Zeitung) (S, Publ)/
攝	摄 	[she4]	/aufnehmen, aufsaugen (V)/
攝政員	摄政员 	[she4 zheng4 yuan2]	/Regent (S)/
攝政	摄政 	[she4 zheng4]	/Regentschaft (S)/
攝政權	摄政权 	[she4 zheng4 quan2]	/Regency (S, Gesch)/Regentschaft (S)/
攝政王	摄政王 	[she4 zheng4 wang2]	/Regent (S)/
攝政統治區	摄政统治区 	[she4 zheng4 tong3 zhi4 qu1]	/Regency (S, Gesch)/Regentschaft (S)/
攝政統治	摄政统治 	[she4 zheng4 tong3 zhi4]	/Regency (S, Gesch)/Regentschaft (S)/
攝氏度	摄氏度 	[she4 shi4 du4]	/Grad Celsius (S, Phys)/
攝氏溫標	摄氏温标 	[she4 shi4 wen1 biao1]	/Grad Celsius (Symbol °C) (S, Phys)/
攝津國	摄津国 	[she4 jin1 guo2]	/Provinz Settsu (Gesch)/
攝相機	摄相机 	[she4 xiang1 ji1]	/Filmkamera (S)/
攝護腺	摄护腺 	[she4 hu4 xian4]	/Vorsteherdrüse (S, Anat)/
攝象機	摄象机 	[she4 xiang4 ji1]	/Kamera (S)/
攝象管	摄象管 	[she4 xiang4 guan3]	/Fernsehaufnahmeröhre/
攝遠鏡頭	摄远镜头 	[she4 yuan3 jing4 tou2]	/Teleobjektiv (S, Tech)/
攟	攟 	[jun4]	/alte Variante von 捃[jun4] (X)/
攢	攒 	[zan3]	/abholen, einsammeln (V)/sparen (V)/
攢雜	攒杂 	[cuan2 za2]	/hineinmischen (V)/
攣	挛 	[luan2]	/verbogen (Adj)/
攣縮	挛缩 	[luan2 suo1]	/Kontraktur (dauerhafte Verkürzung von Muskeln, Sehnen, ...) (S, Med)/
攤兒	摊儿 	[tan1 r5]	/Straßenverkäufer, Verkaufsstand (S)/
攤分	摊分 	[tan1 fen1]	/Neuzuweisung (S)/
攤子	摊子 	[tan1 zi5]	/Arbeitskabine, Bude (S)/
攤	摊 	[tan1]	/auseinander spreizen (V)/
攤	摊 	[tan5]	/Verkaufsstand (S)/
攤派	摊派 	[tan1 pai4]	/beauflagen (V)/
攤牌	摊牌 	[tan1 pai2]	/die Karten auf den Tisch legen (S)/
攤薄	摊薄 	[tan1 bo2]	/Verwässerung (S)/
攤販	摊贩 	[tan1 fan4]	/Lieferant (S)/
攤銷	摊销 	[tan1 xiao1]	/amortisieren (V)/
攤鋪	摊铺 	[tan1 pu1]	/pflastern (V, Tech)/
攤開	摊开 	[tan1 kai1]	/ausbreiten (V)/
攤點	摊点 	[tan1 dian3]	/offener Verkaufsstand, Stand (S)/
攥	攥 	[zuan4]	/Griff (S)/
攥緊拳頭	攥紧拳头 	[zuan4 jin3 quan2 tou2]	/die Faust ballen (V)/
攧	攧 	[dian1]	/fallen; sinken (V)/stampfen (mit den Füssen) (V)/anmachen; hochwerfen (V)/werfen (V)/
攩	攩 	[dang3]	/behindern, hindern (V)/
攪亂	搅乱 	[jiao3 luan4]	/durcheinander bringen, aus der Fassung bringen (V)/
攪動	搅动 	[jiao3 dong4]	/rühren, aufrühren, umrühren (V)/
攪動球磨機	搅动球磨机 	[jiao3 dong4 qiu2 mo2 ji1]	/Rührwerkskugelmühle (S)/
攪勻	搅匀 	[jiao3 yun2]	/homogenisieren (V)/
攪和	搅和 	[jiao3 huo5]	/mischen, einblenden (V)/vermischen, mixen (V)/verderben, behindern (V)/
攪打	搅打 	[jiao3 da3]	/schlagen, verquirlen (V)/
攪拌	搅拌 	[jiao3 ban4]	/mischen, vermengen, umrühren, durchrühren (V)/
攪拌樓	搅拌楼 	[jiao3 ban4 lou2]	/Mischturm (S)/
攪拌機	搅拌机 	[jiao3 ban4 ji1]	/Rührmaschine, Rührgerät, Mischmaschine (S)/
攪拌運輸車	搅拌运输车 	[jiao3 ban4 yun4 shu1 che1]	/Betonmischer (Fahrzeug) (S, Tech)/Betonmischfahrzeug (S, Tech)/Fahrmischer (S, Tech)/
攪	搅 	[jiao3]	/anregen, bewegen (V)/ärgern, belästigen (V)/durcheinander bringen, beunruhigen (V)/mischen, mixen (V)/
攪擾	搅扰 	[jiao3 rao3]	/ärgern, belästigen, stören, nerven (V), siehe auch 扰乱[rao3 luan4] (X)/durcheinander bringen, beunruhigen (V)/
攪流	搅流 	[jiao3 liu2]	/Turbulenz (S)/
